EXP,calculated,error(%),Relative error(%),,Ave relative error(%),21.74079799
92.45,69.948,24.33964305,24.33964305,,Max relative error(%),65.8416
24.62,20.524,-16.63688058,16.63688058,,,
209.02,191.32,-8.468089178,8.468089178,,,
64.53,51.678,-19.91631799,19.91631799,,,
81.7,65.406,-19.94369645,19.94369645,,,
35.81626319,30.294,-15.41831196,15.41831196,,,
30.97,24.742,-20.10978366,20.10978366,,,
59.09090909,21.456,-63.68984615,63.68984615,,,
51.34680135,52.161,1.58568524,1.58568524,,,
184.71,161.49,-12.57105733,12.57105733,,,
18.63,19.294,3.564143854,3.564143854,,,
56.81818182,20.687,-63.59088,63.59088,,,
67.74,51.689,-23.69501033,23.69501033,,,
80,63.913,-20.10875,20.10875,,,
32.19,28.453,-11.6091954,11.6091954,,,
177.65,155.59,-12.4176752,12.4176752,,,
43.77104377,46.273,5.716007695,5.716007695,,,
67.04545455,23.428,-65.05654238,65.05654238,,,
42.70639354,38.63,-9.545159874,9.545159874,,,
16.39,9.546,-41.75716901,41.75716901,,,
20.39,13.33,-34.62481609,34.62481609,,,
123.4285714,104.1,-15.6597222,15.6597222,,,
15.8,8.4496,-46.52151899,46.52151899,,,
22.57,22.174,-1.754541427,1.754541427,,,
73.58,57.711,-21.5670019,21.5670019,,,
70.45454545,25.407,-63.93845161,63.93845161,,,
81.7,68.493,-16.16523868,16.16523868,,,
198.43,179.39,-9.595323288,9.595323288,,,
24.48,26.391,7.806372549,7.806372549,,,
168.24,147.98,-12.04232049,12.04232049,,,
63.63636364,22.283,-64.98385714,64.98385714,,,
33.5,28.671,-14.41492537,14.41492537,,,
96,65.311,-31.96770833,31.96770833,,,
16.92,10.301,-39.11938534,39.11938534,,,
28.6,22.019,-23.01048951,23.01048951,,,
63.4,49.705,-21.60094637,21.60094637,,,
27.06,23.517,-13.09312639,13.09312639,,,
63.63636364,23.428,-63.18457143,63.18457143,,,
16.23,9.6389,-40.61059766,40.61059766,,,
185.1,163.04,-11.91788223,11.91788223,,,
72.08,56.665,-21.38596004,21.38596004,,,
97.36,76.9,-21.01479047,21.01479047,,,
83.58,66.638,-20.27039962,20.27039962,,,
70.57,53.537,-24.13631855,24.13631855,,,
18.26,10.87,-40.47097481,40.47097481,,,
60,48.739,-18.76833333,18.76833333,,,
140.39,209.34,49.1131847,49.1131847,,,
54.71380471,54.599,-0.209827685,0.209827685,,,
90,73.562,-18.26444444,18.26444444,,,
62.5,21.349,-65.8416,65.8416,,,
94.53,76.605,-18.96223421,18.96223421,,,
19.67,11.976,-39.11540417,39.11540417,,,
65.66,52.852,-19.50654889,19.50654889,,,
101.1428571,71.842,-28.96977398,28.96977398,,,
22.35,15.954,-28.61744966,28.61744966,,,
23.74,26.018,9.595619208,9.595619208,,,
86.6,71.356,-17.60277136,17.60277136,,,
28.57,25.308,-11.41757088,11.41757088,,,
30.78,25.856,-15.99740091,15.99740091,,,
216.86,201.03,-7.299640321,7.299640321,,,
78.11,62.494,-19.99231853,19.99231853,,,
91.89,71.356,-22.3462836,22.3462836,,,
20.4,17.452,-14.45098039,14.45098039,,,
47.55892256,48.239,1.429968139,1.429968139,,,
18.1,10.648,-41.17127072,41.17127072,,,
19.99,13.402,-32.95647824,32.95647824,,,
20.69,13.961,-32.52295795,32.52295795,,,
95.09,74.261,-21.90451152,21.90451152,,,
92.45,75.607,-18.21849648,18.21849648,,,
32.83674736,27.737,-15.53061058,15.53061058,,,
31.25,27.946,-10.5728,10.5728,,,
24.21,23.932,-1.148285832,1.148285832,,,
165.1,145.25,-12.02301635,12.02301635,,,
76.04,62.328,-18.03261441,18.03261441,,,
105.6818182,93.074,-11.92997851,11.92997851,,,
172.94,150.46,-12.99872788,12.99872788,,,
44.82323232,46.9,4.633239444,4.633239444,,,
70.57,52.504,-25.60011336,25.60011336,,,
158.43,141.02,-10.98908035,10.98908035,,,
21.26,20.705,-2.610536218,2.610536218,,,
46.2962963,47.562,2.733919992,2.733919992,,,
76.23,59.343,-22.15269579,22.15269579,,,
73.77,55.185,-25.19316795,25.19316795,,,
109.0909091,96.191,-11.82491667,11.82491667,,,
231.37,211.65,-8.523144747,8.523144747,,,
94.28571429,70.896,-24.80727273,24.80727273,,,
92.45,73.765,-20.21092482,20.21092482,,,
29,23.798,-17.93793103,17.93793103,,,
21.81,21.419,-1.792755617,1.792755617,,,
75.47,58.502,-22.48310587,22.48310587,,,
28.9,23.094,-20.0899654,20.0899654,,,
35.07,31.766,-9.421157685,9.421157685,,,
84,58.642,-30.18809524,30.18809524,,,
75.28,60.938,-19.05154091,19.05154091,,,
78.49,65.222,-16.90406421,16.90406421,,,
29.48479205,10.131,-65.63991368,65.63991368,,,
31.65,27.158,-14.19273302,14.19273302,,,
33.2,29.796,-10.25301205,10.25301205,,,
89.06,70.752,-20.55692791,20.55692791,,,
71.89,57.577,-19.90958409,19.90958409,,,
18.51,11.022,-40.45380875,40.45380875,,,
52.60942761,52.953,0.653062399,0.653062399,,,
22.87,20.945,-8.417140359,8.417140359,,,
91.89,74.815,-18.58200022,18.58200022,,,
83.21,63.738,-23.40103353,23.40103353,,,
19.88,11.83,-40.49295775,40.49295775,,,
40.82491582,40.838,0.032049497,0.032049497,,,
79.06,60.784,-23.11662029,23.11662029,,,
19.7,11.705,-40.58375635,40.58375635,,,
17.99,9.9502,-44.69038355,44.69038355,,,
26.44,23.321,-11.79652042,11.79652042,,,
83.77,65.039,-22.36003342,22.36003342,,,
22.27,14.193,-36.26852268,36.26852268,,,
96.04,75.958,-20.91003748,20.91003748,,,
39.14,32.707,-16.43587123,16.43587123,,,
62.5,22.011,-64.7824,64.7824,,,
45.49968963,42.661,-6.238920865,6.238920865,,,
86.42,67.267,-22.16269382,22.16269382,,,
69.25,54.827,-20.82743682,20.82743682,,,
35.59,34.026,-4.394492835,4.394492835,,,
75.28,57.035,-24.23618491,24.23618491,,,
249.41,223.52,-10.38049798,10.38049798,,,
32.64,30.642,-6.121323529,6.121323529,,,
103.9772727,86.97,-16.35672129,16.35672129,,,
176.86,155.41,-12.12823702,12.12823702,,,
195.29,172.74,-11.54693021,11.54693021,,,
28.85,25.388,-12,12,,,
148.24,133.01,-10.27388019,10.27388019,,,
117.6136364,101.63,-13.58995172,13.58995172,,,
19.21,11.597,-39.63040083,39.63040083,,,
57.95454545,20.602,-64.45145098,64.45145098,,,
87.42857143,59.065,-32.44199347,32.44199347,,,
22.89,20.24,-11.57710791,11.57710791,,,
18.23,10.36,-43.17059792,43.17059792,,,
74.15,56.226,-24.17262306,24.17262306,,,
70.19,56.226,-19.89457188,19.89457188,,,
18.74,11.06,-40.98185699,40.98185699,,,
150,120.07,-19.95333333,19.95333333,,,
33.03,29.509,-10.66000606,10.66000606,,,
64.15,49.252,-23.22369447,23.22369447,,,
69.25,54.179,-21.7631769,21.7631769,,,
38.05090006,34.563,-9.166406194,9.166406194,,,
32.02,28.239,-11.80824485,11.80824485,,,
25.38,26.093,2.80929866,2.80929866,,,
84.15,71.155,-15.44266191,15.44266191,,,
17.55,9.9125,-43.51851852,43.51851852,,,
87.36,69.149,-20.84592491,20.84592491,,,
31.16134752,12.013,-61.44903556,61.44903556,,,
171.76,148.45,-13.57126223,13.57126223,,,
109.0909091,93.074,-14.68216667,14.68216667,,,
205.1,184.91,-9.843978547,9.843978547,,,
62.26,49.954,-19.76549952,19.76549952,,,
30.46,26.707,-12.32107682,12.32107682,,,
103.9772727,87.651,-15.70177047,15.70177047,,,
17.71,9.8593,-44.32919255,44.32919255,,,
90.85714286,61.415,-32.40487422,32.40487422,,,
24.52,24.91,1.590538336,1.590538336,,,
30.04,26.249,-12.61984021,12.61984021,,,
32.41,29.085,-10.25917927,10.25917927,,,
100.94,77.344,-23.37626313,23.37626313,,,
22.15,21.912,-1.074492099,1.074492099,,,
241.18,220.46,-8.591093789,8.591093789,,,
43.77104377,43.413,-0.817992305,0.817992305,,,
190.98,170.47,-10.73934443,10.73934443,,,
23.2,20.551,-11.41810345,11.41810345,,,
138.0681818,112.65,-18.40987653,18.40987653,,,
165.3409091,135.3,-18.16907217,18.16907217,,,
21.1,16.422,-22.17061611,22.17061611,,,
53.69335816,47.547,-11.44714797,11.44714797,,,
65.09,51.077,-21.52865263,21.52865263,,,
38.2371198,33.595,-12.14034902,12.14034902,,,
44.00993172,39.849,-9.454528915,9.454528915,,,
49.87373737,49.19,-1.370936701,1.370936701,,,
89.14285714,61.274,-31.26314102,31.26314102,,,
160.39,141.6,-11.71519421,11.71519421,,,
97.55,74.962,-23.15530497,23.15530497,,,
42.08754209,43.88,4.258879994,4.258879994,,,
76.42,60.376,-20.99450406,20.99450406,,,
79.62,66.017,-17.08490329,17.08490329,,,
85.09,66.017,-22.4150899,22.4150899,,,
38.28,33.569,-12.30668757,12.30668757,,,
30.41589075,10.659,-64.95581837,64.95581837,,,
80.38,67.021,-16.61980592,16.61980592,,,
53.24074074,53.838,1.121808697,1.121808697,,,
19.4,16.442,-15.24742268,15.24742268,,,
64.15,51.016,-20.47388932,20.47388932,,,
21.06,18.27,-13.24786325,13.24786325,,,
27.71,26.179,-5.525081198,5.525081198,,,
97.92,75.958,-22.42851307,22.42851307,,,
27.96,24.463,-12.50715308,12.50715308,,,
87.92,72.66,-17.3566879,17.3566879,,,
189.41,167.53,-11.55166042,11.55166042,,,
90.85714286,65.088,-28.36226415,28.36226415,,,
95.66,77.492,-18.99226427,18.99226427,,,
63.21,48.304,-23.58171175,23.58171175,,,
33.9540658,33.436,-1.525784285,1.525784285,,,
83.58,69.349,-17.02680067,17.02680067,,,
76.98,59.437,-22.78903611,22.78903611,,,
61.7,48.176,-21.91896272,21.91896272,,,
33.83,31.132,-7.975169967,7.975169967,,,
66.04,52.427,-20.61326469,20.61326469,,,
50.50505051,50.727,0.43945999,0.43945999,,,
90,71.558,-20.49111111,20.49111111,,,
70.57,54.898,-22.207737,22.207737,,,
41.24579125,42.542,3.142644887,3.142644887,,,
68.3,52.567,-23.03513909,23.03513909,,,
19.71,12.663,-35.75342466,35.75342466,,,
31.61,26.385,-16.52957925,16.52957925,,,
73.21,59.733,-18.40868734,18.40868734,,,
42.71885522,45.185,5.772965514,5.772965514,,,
22.21,14.848,-33.14723098,33.14723098,,,
27.03,23.697,-12.33074362,12.33074362,,,
21.57,13.788,-36.07788595,36.07788595,,,
27.58,26.454,-4.0826686,4.0826686,,,
85.47,68.296,-20.09360009,20.09360009,,,
80.94,62.828,-22.37706943,22.37706943,,,
49.66329966,47.546,-4.263308468,4.263308468,,,
26.57,27.454,3.327060595,3.327060595,,,
30.85,27.594,-10.55429498,10.55429498,,,
19.57,11.561,-40.92488503,40.92488503,,,
22.31,15.46,-30.7037203,30.7037203,,,
17.02,8.6689,-49.06639248,49.06639248,,,
93.96,74.815,-20.37569178,20.37569178,,,
29.26,25.787,-11.86944634,11.86944634,,,
28.25,24.021,-14.9699115,14.9699115,,,
72.64,55.772,-23.22136564,23.22136564,,,
38.51010101,38.604,0.243829508,0.243829508,,,
33.98,31.347,-7.748675692,7.748675692,,,
155.69,139.32,-10.51448391,10.51448391,,,
51.13636364,20.744,-59.43395556,59.43395556,,,
144.8863636,120.51,-16.82447057,16.82447057,,,
73.71428571,58.851,-20.16337209,20.16337209,,,
63.63636364,25.126,-60.51628572,60.51628572,,,
116.5714286,94.618,-18.83259806,18.83259806,,,
102.2727273,88.692,-13.27893336,13.27893336,,,
87.42857143,72.36,-17.23529412,17.23529412,,,
93.75,92.385,-1.456,1.456,,,
122.7272727,103.26,-15.8622222,15.8622222,,,
90.34090909,87.193,-3.484477986,3.484477986,,,
52.27272727,21.349,-59.15843478,59.15843478,,,
75.42857143,65.311,-13.41344697,13.41344697,,,
21.46,16.809,-21.67287978,21.67287978,,,
18.61,14.239,-23.48737238,23.48737238,,,
15.23,11.377,-25.29875246,25.29875246,,,
15.46,11.326,-26.73997413,26.73997413,,,
16.13,12.341,-23.49039058,23.49039058,,,
33.23,24.108,-27.45109841,27.45109841,,,
14.41,10.512,-27.05065926,27.05065926,,,
17.45,11.901,-31.79942693,31.79942693,,,
26.84,20.237,-24.60134128,24.60134128,,,
30.48,22.34,-26.70603675,26.70603675,,,
30.59,22.635,-26.00523047,26.00523047,,,
18.07,12.603,-30.25456558,30.25456558,,,
20.1,15.32,-23.78109453,23.78109453,,,
33.07,24.107,-27.10311461,27.10311461,,,
23.1,18.358,-20.52813853,20.52813853,,,
15.88,11.869,-25.2581864,25.2581864,,,
31.17,21.136,-32.1912095,32.1912095,,,
25.42,19.376,-23.77655389,23.77655389,,,
14.29,10.508,-26.46606018,26.46606018,,,
16.63,12.376,-25.58027661,25.58027661,,,
30.79,22.488,-26.96329977,26.96329977,,,
17.9,20.551,14.81005587,14.81005587,,,
14.82,10.487,-29.23751687,29.23751687,,,
24.69,18.893,-23.47914135,23.47914135,,,
31.69,23.004,-27.40927737,27.40927737,,,
16.13,12.602,-21.87228766,21.87228766,,,
26.57,20.101,-24.3470079,24.3470079,,,
19.22,14.62,-23.93340271,23.93340271,,,
20.9,15.925,-23.80382775,23.80382775,,,
18.54,13.923,-24.90291262,24.90291262,,,
19.5,14.602,-25.11794872,25.11794872,,,
20.19,15.459,-23.43239227,23.43239227,,,
29.48,21.082,-28.48710991,28.48710991,,,
28.08,20.635,-26.51353276,26.51353276,,,
20.83,16.269,-21.89630341,21.89630341,,,
25.9,19.564,-24.46332046,24.46332046,,,
20.02,14.984,-25.15484515,25.15484515,,,
25.42,19.003,-25.24390244,25.24390244,,,
27.26,20.661,-24.20763023,24.20763023,,,
30.4,22.408,-26.28947368,26.28947368,,,
20.06,14.972,-25.36390828,25.36390828,,,
20.66,15.473,-25.10648596,25.10648596,,,
14.29,10.969,-23.24002799,23.24002799,,,
17.04,12.443,-26.97769953,26.97769953,,,
13.53,10.144,-25.02586844,25.02586844,,,
21.82,17.038,-21.91567369,21.91567369,,,
14.59,10.8,-25.97669637,25.97669637,,,
31.15,22.745,-26.9823435,26.9823435,,,
15.9,11.6,-27.04402516,27.04402516,,,
19.94,14.689,-26.33400201,26.33400201,,,
15.42,10.606,-31.21919585,31.21919585,,,
18.74,14.28,-23.79935966,23.79935966,,,
19.31,14.568,-24.55722424,24.55722424,,,
13.98,10.173,-27.23175966,27.23175966,,,
22.22,17.252,-22.35823582,22.35823582,,,
24.79,18.516,-25.30859217,25.30859217,,,
18.7,21.503,14.98930481,14.98930481,,,
33.38,23.668,-29.09526663,29.09526663,,,
23.49,18.113,-22.89059174,22.89059174,,,
26.25,19.849,-24.3847619,24.3847619,,,
33.27,23.666,-28.86684701,28.86684701,,,
33.39,24.251,-27.3704702,27.3704702,,,
16.78,12.127,-27.72943981,27.72943981,,,
17.82,12.908,-27.56453423,27.56453423,,,
22.97,17.859,-22.25076186,22.25076186,,,
21.16,16.506,-21.99432892,21.99432892,,,
20.66,15.325,-25.82284608,25.82284608,,,
17.6,12.824,-27.13636364,27.13636364,,,
32.41,23.267,-28.21042888,28.21042888,,,
19.38,14.808,-23.59133127,23.59133127,,,
33.67,23.865,-29.12087912,29.12087912,,,
25.97,19.529,-24.80169426,24.80169426,,,
16.34,12.529,-23.32313341,23.32313341,,,
20.81,15.232,-26.80442095,26.80442095,,,
18.53,21.236,14.60334593,14.60334593,,,
19.56,15.205,-22.26482618,22.26482618,,,
21.2,15.613,-26.35377358,26.35377358,,,
17.92,20.867,16.4453125,16.4453125,,,
25.2,18.772,-25.50793651,25.50793651,,,
16.64,12.161,-26.91706731,26.91706731,,,
22.32,17.387,-22.10125448,22.10125448,,,
